ID F 1O 2O 3O 4O 5O
OGLE-LMC-RRLYR-04825 0.4844566 0.3604046 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04856 0.4855401 0.3614270 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04870 0.5367677 0.4003953 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04872 0.4638367 0.3445296 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04873 0.4935978 0.3674887 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04882 0.4938834 0.3677933 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04893 0.4780280 0.3556486 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04932 0.5109280 0.3811323 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04944 0.4656523 0.3457803 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04967 0.5386152 0.4016301 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04968 0.4753916 0.3536480 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05005 0.4701483 0.3493982 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05016 0.4832946 0.3595922 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05020 0.4713944 0.3505043 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05025 0.4731491 0.3516847 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05082 0.4813905 0.3583358 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05143 0.5247920 0.3918820 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05169 0.4671460 0.3470221 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05190 0.4823821 0.3591097 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05207 0.4920712 0.3663554 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05238 0.5168991 0.3855124 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05239 0.4747633 0.3530723 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05272 0.4840424 0.3601218 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05300 0.4911687 0.3654979 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05318 0.4873148 0.3625243 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05349 0.4769751 0.3550196 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05364 0.4744947 0.3530054 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05401 0.4834208 0.3597381 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05434 0.4809460 0.3581357 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05455 0.4680173 0.3478998 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05456 0.4735445 0.3521823 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05501 0.4945325 0.3683880 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05517 0.4696117 0.3493381 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05531 0.4865999 0.3620333 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05580 0.4855254 0.3615539 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05602 0.4656346 0.3461952 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05666 0.4760718 0.3541542 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05677 0.4821234 0.3589884 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05701 0.4800859 0.3574724 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05708 0.4716248 0.3506885 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05767 0.4866493 0.3618804 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05805 0.4724991 0.3513378 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05850 0.4655565 0.3459651 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05855 0.4911468 0.3657198 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05901 0.4642468 0.3451021 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05959 0.5150409 0.3842256 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05973 0.4769704 0.3547115 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05985 0.5092113 0.3800243 -1. -1. -1. -1.
OGLE-LMC-RRLYR-05987 0.4662509 0.3463878 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06017 0.4759633 0.3541244 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06132 0.5118824 0.3811685 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06157 0.4861177 0.3617746 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06173 0.4861951 0.3621078 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06175 0.4850535 0.3610672 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06198 0.5060588 0.3769489 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06212 0.5747348 0.4286322 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06226 0.4853694 0.3612912 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06254 0.4704811 0.3494972 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06270 0.4739682 0.3523016 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06286 0.4880271 0.3630239 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06298 0.5125599 0.3823951 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06325 0.5070105 0.3779893 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06328 0.4754069 0.3536215 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06346 0.4898896 0.3648868 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06347 0.4699517 0.3496959 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06358 0.5087017 0.3795603 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06378 0.4942846 0.3678450 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06446 0.4956954 0.3691672 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06463 0.4710976 0.3503613 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06517 0.4901821 0.3647748 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06556 0.4600041 0.3415614 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06558 0.4858103 0.3616153 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06565 0.4573146 0.3397671 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06566 0.4627556 0.3436683 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06573 0.5172005 0.3857558 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06576 0.4772708 0.3551092 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06594 0.4632852 0.3440391 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06603 0.4798668 0.3571646 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06637 0.4640584 0.3447771 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06685 0.4722518 0.3512584 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06693 0.4919273 0.3663069 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06711 0.4811585 0.3581728 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06731 0.4720368 0.3509853 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06787 0.4732728 0.3516846 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06823 0.4932490 0.3675566 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06828 0.5160543 0.3847899 -1. -1. -1. -1.
OGLE-LMC-RRLYR-06843 0.4899785 0.3648561 -1. -1. -1. -1.
